Cameo video price,Price Group,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,cameo video price category
50.0,$25.00-$49.99,1313,5244.0,2228,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,1912,5262.0,2231,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
10.0,$5.00-$9.99,39,26515.0,3,0,0,1,0,0,0,0,0,0,0,0,$5.00-$9.99
25.0,$10.00-$24.99,699,10607.0,3804,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
300.0,$500 and above,4032,884.0,100,0,0,0,0,0,0,0,1,0,0,0,$500 and above
25.0,$10.00-$24.99,871,10641.0,3814,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
40.0,$25.00-$49.99,727,6668.0,1000,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
15.0,$10.00-$24.99,668,17979.0,1954,0,0,0,0,0,0,0,1,0,0,0,$10.00-$24.99
50.0,$25.00-$49.99,3118,5413.0,91,0,0,0,0,0,0,0,0,1,0,0,$25.00-$49.99
65.0,$100-499.99,1598,4169.0,554,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
40.0,$25.00-$49.99,591,6801.0,9,0,0,0,0,0,0,1,0,0,0,0,$25.00-$49.99
25.0,$10.00-$24.99,669,10968.0,1845,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
80.0,$100-499.99,880,3430.0,24,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
75.0,$100-499.99,2162,3662.0,1665,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
70.0,$100-499.99,1650,3943.0,8,0,0,0,0,0,0,0,0,1,0,0,$100-499.99
45.0,$25.00-$49.99,602,6176.0,906,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
100.0,$100-499.99,2267,2783.0,19,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,1721,5612.0,88,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
65.0,$100-499.99,1231,4330.0,1902,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
40.0,$25.00-$49.99,823,7071.0,703,0,0,0,0,0,0,0,1,0,0,0,$25.00-$49.99
295.0,$500 and above,4791,959.0,488,1,0,0,0,0,0,0,0,0,0,0,$500 and above
30.0,$25.00-$49.99,637,9487.0,160,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
99.0,$100-499.99,1068,2882.0,1356,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
25.0,$10.00-$24.99,1108,11449.0,4025,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
50.0,$25.00-$49.99,511,5725.0,147,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,1363,5763.0,151,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
40.0,$25.00-$49.99,239,7323.0,729,0,0,0,0,0,0,0,1,0,0,0,$25.00-$49.99
40.0,$25.00-$49.99,1442,7361.0,1121,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
35.0,$25.00-$49.99,433,8415.0,17,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
20.0,$10.00-$24.99,531,14975.0,4863,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
300.0,$500 and above,10523,1001.0,514,1,0,0,0,0,0,0,0,0,0,0,$500 and above
75.0,$100-499.99,1640,4020.0,1795,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
70.0,$100-499.99,497,4308.0,104,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,1490,6033.0,590,0,0,0,0,0,0,0,1,0,0,0,$25.00-$49.99
125.0,$500 and above,3186,2417.0,1158,1,0,0,0,0,0,0,0,0,0,0,$500 and above
30.0,$25.00-$49.99,889,10150.0,1677,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
15.0,$10.00-$24.99,577,20318.0,548,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
150.0,$500 and above,1134,2039.0,51,0,0,1,0,0,0,0,0,0,0,0,$500 and above
15.0,$10.00-$24.99,54,20504.0,2278,0,0,0,0,0,0,0,1,0,0,0,$10.00-$24.99
75.0,$100-499.99,1215,4106.0,1823,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
17.0,$10.00-$24.99,206,18176.0,3302,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
25.0,$10.00-$24.99,479,12413.0,2128,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
25.0,$10.00-$24.99,231,12430.0,6,0,0,0,0,0,0,0,0,1,0,0,$10.00-$24.99
500.0,$500 and above,4069,625.0,4,0,0,1,0,0,0,0,0,0,0,0,$500 and above
10.0,$5.00-$9.99,110,31329.0,123,0,0,0,0,0,0,0,0,1,0,0,$5.00-$9.99
15.0,$10.00-$24.99,380,20943.0,3870,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
