Full name,Price Group,Cameo video price,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers
John Moraga,3,25.0,60,48767.0,628,0,0,1,0,0,0,0,0,0,0,0
David Edwards,3,25.0,58,48767.0,3379,0,0,1,0,0,0,0,0,0,0,0
André Villas-Boas,6,150.0,1247,8135.0,1271,0,0,0,0,0,0,0,0,0,1,0
Carla Harvey,4,35.0,166,34868.0,4036,0,0,0,0,0,0,0,1,0,0,0
GloZell,4,50.0,271,24433.0,4591,0,0,0,0,0,0,0,0,0,1,0
Darlene Love,5,100.0,575,12217.0,1271,0,0,0,0,0,0,0,1,0,0,0
Jofra Archer,5,100.0,1472,12217.0,76,0,0,1,0,0,0,0,0,0,0,0
Jake Epstein,4,40.0,579,30544.0,7920,1,0,0,0,0,0,0,0,0,0,0
Tino Best,3,15.0,101,81478.0,650,0,0,1,0,0,0,0,0,0,0,0
Amy Davidson,5,65.0,384,18807.0,3430,0,0,0,0,0,0,0,0,0,1,0
Chris Salvatore,4,30.0,151,40760.0,4764,0,0,0,0,0,0,0,1,0,0,0
Renaldo Balkman,4,30.0,89,40760.0,1072,0,0,1,0,0,0,0,0,0,0,0
Brian Krause,5,90.0,1013,13600.0,4535,1,0,0,0,0,0,0,0,0,0,0
Leanna Creel,4,44.0,319,27829.0,7446,1,0,0,0,0,0,0,0,0,0,0
Khalil Kain,4,45.0,383,27230.0,7347,1,0,0,0,0,0,0,0,0,0,0
Gabrielle Anwar,6,250.0,2236,4905.0,2115,1,0,0,0,0,0,0,0,0,0,0
Steve Guttenberg,6,250.0,3820,4907.0,2116,1,0,0,0,0,0,0,0,0,0,0
Richard Brake,5,80.0,554,15363.0,4953,1,0,0,0,0,0,0,0,0,0,0
Mary Wilson,5,80.0,703,15363.0,2718,0,0,0,0,0,0,0,0,0,1,0
Greg Ellis,4,35.0,367,35127.0,8629,1,0,0,0,0,0,0,0,0,0,0
Chris Chelios,5,75.0,486,16407.0,51,0,0,1,0,0,0,0,0,0,0,0
Gabe Kapler,5,75.0,1915,16407.0,162,0,0,1,0,0,0,0,0,0,0,0
Jonathan Casillas,3,25.0,27,49248.0,1698,0,0,1,0,0,0,0,0,0,0,0
Sally Pressman,4,30.0,298,41075.0,8037,0,0,0,0,0,0,0,0,0,1,0
Thomas McDonell,5,100.0,688,12327.0,2111,0,0,0,0,0,0,0,0,0,1,0
Jonathan Freeman,4,50.0,296,24655.0,6875,1,0,0,0,0,0,0,0,0,0,0
Warren Moon,6,150.0,479,8220.0,222,0,0,1,0,0,0,0,0,0,0,0
Jake Pitts,3,25.0,120,49467.0,5790,0,0,0,0,0,0,0,1,0,0,0
Taylor Gray,4,30.0,146,41246.0,8060,0,0,0,0,0,0,0,0,0,1,0
Sam Palladio,5,95.0,467,13056.0,4402,1,0,0,0,0,0,0,0,0,0,0
Steve Smith Sr,6,117.0,346,10607.0,294,0,0,1,0,0,0,0,0,0,0,0
Mário Jardel,4,40.0,457,31045.0,2016,0,0,1,0,0,0,0,0,0,0,0
Catt Sadler,5,55.0,171,22607.0,4200,0,0,0,0,0,0,0,0,0,1,0
AKON,8,999.0,6264,1247.0,133,0,0,0,0,0,0,0,0,0,1,0
Ion Overman,3,15.0,81,83078.0,13957,1,0,0,0,0,0,0,0,0,0,0
DJ Jazzy Jeff,6,125.0,1044,9975.0,1019,0,0,0,0,0,0,0,1,0,0,0
Arianne Zucker,5,100.0,691,12481.0,4272,1,0,0,0,0,0,0,0,0,0,0
Justin Guarini,5,100.0,568,12481.0,1296,0,0,0,0,0,0,0,1,0,0,0
Catherine Tyldesley,4,50.0,159,24970.0,4696,0,0,0,0,0,0,0,0,0,1,0
Metta World Peace,7,500.0,277,2497.0,69,0,0,1,0,0,0,0,0,0,0,0
Roquan Smith,5,85.0,154,14691.0,420,0,0,1,0,0,0,0,0,0,0,0
Yangervis Solarte,3,25.0,89,49975.0,757,0,0,1,0,0,0,0,0,0,0,0
Shoshannah Stern,4,39.0,372,32043.0,8158,1,0,0,0,0,0,0,0,0,0,0
Bo Bice,4,50.0,190,25049.0,2804,0,0,0,0,0,0,0,1,0,0,0
Andrea Bowen,4,50.0,499,25049.0,6939,1,0,0,0,0,0,0,0,0,0,0
Jeff Driskel,4,50.0,195,25049.0,788,0,0,1,0,0,0,0,0,0,0,0
Peter Asher,4,50.0,335,25049.0,2804,0,0,0,0,0,0,0,1,0,0,0
Beibut Shumenov,3,20.0,55,62635.0,373,0,0,1,0,0,0,0,0,0,0,0
Calvin Mac-Intosch,1,5.0,6,250578.0,26529,0,0,1,0,0,0,0,0,0,0,0
Natalie Lander,4,30.0,190,41786.0,8179,0,0,0,0,0,0,0,0,0,1,0
Danny Green,6,125.0,2443,10029.0,265,0,0,1,0,0,0,0,0,0,0,0
Jennifer Stone,5,70.0,940,17909.0,5520,1,0,0,0,0,0,0,0,0,0,0
Cris Carter,6,150.0,390,8359.0,228,0,0,1,0,0,0,0,0,0,0,0
Jamie Anderson,4,45.0,73,27906.0,97,0,0,1,0,0,0,0,0,0,0,0
Hugh Freeze,5,100.0,332,12569.0,52,0,0,1,0,0,0,0,0,0,0,0
Jerel Worthy,3,15.0,21,83874.0,3006,0,0,1,0,0,0,0,0,0,0,0
Beverley Elliott,3,15.0,57,83874.0,16075,0,0,0,0,0,0,0,0,0,1,0
Brian Pillman,3,15.0,427,83874.0,1086,0,0,1,0,0,0,0,0,0,0,0
Hollyn,4,35.0,99,35976.0,4180,0,0,0,0,0,0,0,1,0,0,0
Maria Conchita Alonso,5,100.0,774,12593.0,1305,0,0,0,0,0,0,0,1,0,0,0
Yukmouth,4,30.0,314,41990.0,4908,0,0,0,0,0,0,0,1,0,0,0
Cazwell,3,20.0,102,63018.0,7496,0,0,0,0,0,0,0,1,0,0,0
Siddharth Kannan,2,10.0,94,126043.0,22919,0,0,0,0,0,0,0,0,0,1,0
Spencer Ware,4,40.0,83,31516.0,1026,0,0,1,0,0,0,0,0,0,0,0
Sean Patrick Flanery,6,150.0,1031,8407.0,3217,1,0,0,0,0,0,0,0,0,0,0
Greg Grunberg,5,99.0,835,12747.0,4331,1,0,0,0,0,0,0,0,0,0,0
Kellie Crawford,3,25.0,112,50481.0,9927,0,0,0,0,0,0,0,0,0,1,0
Ryan Cabrera,5,60.0,919,21044.0,2335,0,0,0,0,0,0,0,1,0,0,0
Dan Feuerriegel,4,40.0,182,31603.0,6084,0,0,0,0,0,0,0,0,0,1,0
Lindsay Ell,4,50.0,503,25294.0,2838,0,0,0,0,0,0,0,1,0,0,0
Juliette Goglia,4,30.0,191,42166.0,9639,1,0,0,0,0,0,0,0,0,0,0
Brandon Paul,4,30.0,56,42166.0,1104,0,0,1,0,0,0,0,0,0,0,0
Alessandra Torresani,5,95.0,799,13334.0,4475,1,0,0,0,0,0,0,0,0,0,0
Chad Michaels,5,75.0,647,16890.0,434,0,0,0,0,0,0,0,0,1,0,0
Marc Summers,5,75.0,332,16890.0,434,1,0,0,0,0,0,0,0,0,0,0
Joe Thomas,6,173.0,1434,7323.0,2887,1,0,0,0,0,0,0,0,0,0,0
Branden Dawson,3,25.0,44,50732.0,1331,0,0,1,0,0,0,0,0,0,0,0
Doug Gottlieb,4,50.0,198,25380.0,712,0,0,1,0,0,0,0,0,0,0,0
Debi Derryberry,5,65.0,543,19526.0,5853,1,0,0,0,0,0,0,0,0,0,0
Aleks Paunovic,4,40.0,239,31829.0,8123,1,0,0,0,0,0,0,0,0,0,0
John DeLuca,4,35.0,231,36402.0,7057,0,0,0,0,0,0,0,0,0,1,0
Travis Turner,3,25.0,87,50995.0,10024,0,0,0,0,0,0,0,0,0,1,0
Stef Sanjati,3,25.0,92,50995.0,10024,0,0,0,0,0,0,0,0,0,1,0
Stefanie Joosten,5,70.0,313,18220.0,174,0,0,0,0,0,0,1,0,0,0,0
Ruth Connell,5,75.0,570,17006.0,3043,0,0,0,0,0,0,0,0,0,1,0
Wesley Snipes,8,999.0,5262,1277.0,654,1,0,0,0,0,0,0,0,0,0,0
Gaizka Mendieta,4,50.0,338,25520.0,1610,0,0,1,0,0,0,0,0,0,0,0
Bart Johnson,4,50.0,392,25520.0,7021,1,0,0,0,0,0,0,0,0,0,0
Michael Winslow,5,95.0,1035,13433.0,28,0,0,0,0,0,1,0,0,0,0,0
Mandy Rose,6,250.0,3048,5107.0,75,0,0,1,0,0,0,0,0,0,0,0
Jacob Hester,3,18.0,61,70951.0,2497,0,0,1,0,0,0,0,0,0,0,0
Jeffrey Nordling,5,60.0,373,21303.0,6229,1,0,0,0,0,0,0,0,0,0,0
Fran Drescher,7,500.0,4358,2557.0,1223,1,0,0,0,0,0,0,0,0,0,0
Jonathan Goldstein,4,31.0,215,41246.0,9501,1,0,0,0,0,0,0,0,0,0,0
Alan Powell,4,50.0,178,25580.0,4821,0,0,0,0,0,0,0,0,0,1,0
Curt Schilling,6,150.0,1190,8535.0,58,0,0,1,0,0,0,0,0,0,0,0
Sarah Drew,6,200.0,1280,6404.0,955,0,0,0,0,0,0,0,0,0,1,0
Ozzy Lusth,5,69.0,591,18566.0,3378,0,0,0,0,0,0,0,0,0,1,0
Morgan McMichaels,4,40.0,491,32043.0,954,0,0,0,0,0,0,0,0,1,0,0
Eddie Steeples,4,40.0,241,32043.0,6172,0,0,0,0,0,0,0,0,0,1,0
Plaxico Burress,6,117.0,349,10957.0,306,0,0,1,0,0,0,0,0,0,0,0
Kapron Lewis-Moore,2,10.0,19,128206.0,4736,0,0,1,0,0,0,0,0,0,0,0
Lauren Fendrick,2,10.0,22,128206.0,149,0,0,1,0,0,0,0,0,0,0,0
Eric Radford,4,30.0,49,42739.0,73,0,0,1,0,0,0,0,0,0,0,0
John Cameron Mitchell,5,75.0,538,17102.0,5338,1,0,0,0,0,0,0,0,0,0,0
Richard Blais,5,60.0,500,21393.0,56,0,0,0,0,1,0,0,0,0,0,0
Cody Cropper,3,15.0,34,85600.0,6809,0,0,1,0,0,0,0,0,0,0,0
Zack Ward,5,65.0,312,19754.0,5913,1,0,0,0,0,0,0,0,0,0,0
Scott Patterson,6,175.0,1411,7339.0,2893,1,0,0,0,0,0,0,0,0,0,0
Jessica Harmon,4,40.0,364,32152.0,8174,1,0,0,0,0,0,0,0,0,0,0
Ciara Hanna,4,40.0,174,32152.0,8174,1,0,0,0,0,0,0,0,0,0,0
Nick Symmonds,3,20.0,366,64327.0,73,0,0,1,0,0,0,0,0,0,0,0
Maulik Pancholy,4,49.0,393,26259.0,4962,0,0,0,0,0,0,0,0,0,1,0
Arn Anderson,5,100.0,871,12873.0,236,0,0,1,0,0,0,0,0,0,0,0
Marty Jannetty,5,70.0,3171,18391.0,332,0,0,1,0,0,0,0,0,0,0,0
Jed Brophy,3,25.0,101,51532.0,10876,1,0,0,0,0,0,0,0,0,0,0
Conor Daly,3,25.0,235,51532.0,16,0,0,1,0,0,0,0,0,0,0,0
Steve Slaton,3,25.0,80,51532.0,1775,0,0,1,0,0,0,0,0,0,0,0
Ian Chappell,4,35.0,620,36810.0,286,0,0,1,0,0,0,0,0,0,0,0
