Full name,Price Group,Cameo video price,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,Actuals,Predictions
Huw Jones,$10.01-25.00,15.0,29,37691.0,93,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Bobby Berk,$100.01-250.00,200.0,1091,2835.0,344,0,0,0,0,0,0,0,0,0,1,0,$100.01-250.00,$100.01-250.00
DJ Fresh,$10.01-25.00,15.0,137,37823.0,4384,0,0,0,0,0,0,0,1,0,0,0,$10.01-25.00,$50.01-100.00
Loretta Swit,$100.01-250.00,125.0,1274,4541.0,1982,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Sean Flynn,$10.01-25.00,25.0,34,22708.0,4217,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Lupe Fiasco,$50.01-100.00,100.0,1421,5677.0,547,0,0,0,0,0,0,0,1,0,0,0,$50.01-100.00,$50.01-100.00
Torrance Coombs,$25.01-50.00,50.0,1877,11368.0,1915,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Anna Hopkins,$10.01-25.00,20.0,306,28471.0,7559,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Jayson Blair,$10.01-25.00,20.0,242,28471.0,824,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Larry Wilcox,$25.01-50.00,40.0,608,14247.0,4694,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Daniel Davis,$25.01-50.00,30.0,654,19001.0,5738,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Sherilyn Fenn,$100.01-250.00,175.0,2951,3259.0,1508,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Jeff Dye,$25.01-50.00,40.0,144,14260.0,186,0,0,0,0,0,1,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Christy Carlson Romano,$50.01-100.00,65.0,1142,8785.0,3323,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Matt Leinart,$50.01-100.00,85.0,535,6720.0,166,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$25.01-50.00
Sean Paul,$100.01-250.00,200.0,2043,2860.0,349,0,0,0,0,0,0,0,0,0,1,0,$100.01-250.00,$50.01-100.00
Marsha Thomason,$50.01-100.00,55.0,1620,10411.0,3751,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Whitney Way Thore,$25.01-50.00,50.0,186,11466.0,1935,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Rita Dominic,$10.01-25.00,15.0,160,38274.0,1171,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Daeg,$10.01-25.00,20.0,251,28707.0,7596,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Teala Dunn,$10.01-25.00,20.0,470,28794.0,7612,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Ted Robbins,$10.01-25.00,21.0,206,27593.0,5223,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Quinton Aaron,$25.01-50.00,40.0,764,14487.0,4743,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Dave Weasel,$0.00-5.00,5.0,14,116357.0,644,0,0,0,0,0,1,0,0,0,0,0,$0.00-5.00,$10.01-25.00
Andrea Barber,$100.01-250.00,125.0,962,4675.0,640,0,0,0,0,0,0,0,0,0,1,0,$100.01-250.00,$100.01-250.00
Victor Webster,$50.01-100.00,55.0,882,10628.0,3809,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Jeremy Vuolo,$25.01-50.00,40.0,987,14619.0,2582,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Pearl Mackie,$25.01-50.00,50.0,206,11698.0,1983,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Jewel Staite,$50.01-100.00,75.0,941,7801.0,3037,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Remy Ma,$250.01-500.00,299.0,1032,1957.0,191,0,0,0,0,0,0,0,1,0,0,0,$250.01-500.00,$100.01-250.00
Lily Allen,$100.01-250.00,250.0,3268,2342.0,284,0,0,0,0,0,0,0,0,0,1,0,$100.01-250.00,$50.01-100.00
David Herman,$25.01-50.00,40.0,568,14650.0,2589,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Yohan Blake,$25.01-50.00,50.0,575,11723.0,2,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Malik Yoba,$25.01-50.00,50.0,623,11741.0,4096,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
James Maslow,$50.01-100.00,99.0,702,5938.0,861,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Charlotte Mckinney,$50.01-100.00,100.0,569,5890.0,72,0,0,0,0,0,0,1,0,0,0,0,$50.01-100.00,$50.01-100.00
Drew Seeley,$25.01-50.00,50.0,668,11784.0,4104,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Gwen Jorgensen,$10.01-25.00,15.0,122,39304.0,1,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
George Hamilton,$100.01-250.00,200.0,1939,2948.0,1383,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Megan Prescott,$10.01-25.00,20.0,286,29499.0,5619,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Emmanuel Mudiay,$25.01-50.00,45.0,475,13118.0,352,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Osher Günsberg,$25.01-50.00,32.0,1561,18465.0,3360,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Antony Golec,$0.00-5.00,5.0,14,118187.0,10268,0,0,1,0,0,0,0,0,0,0,0,$0.00-5.00,$10.01-25.00
Kat Graham,$100.01-250.00,155.0,2571,3824.0,1723,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Gina Gershon,$100.01-250.00,149.0,2321,3979.0,1779,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Jeremy Howard,$10.01-25.00,25.0,266,23728.0,6700,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Corbin Bernsen,$50.01-100.00,75.0,1416,7913.0,3065,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Oded Fehr,$50.01-100.00,75.0,1071,7922.0,3070,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
James Duval,$10.01-25.00,25.0,414,23769.0,6708,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Emily Rose,$25.01-50.00,50.0,733,11893.0,2015,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Kristine Leahy,$50.01-100.00,75.0,359,7930.0,1228,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$25.01-50.00
Maeve Quinlan,$10.01-25.00,25.0,329,23838.0,6722,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Marnie Simpson,$10.01-25.00,25.0,280,23838.0,4467,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Rita Simons,$25.01-50.00,49.0,360,12186.0,2079,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Kevin Ashman,$10.01-25.00,25.0,410,23908.0,4486,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Ranveer Allahbadia,$5.01-10.00,10.0,0,59786.0,11711,0,0,0,0,0,0,0,0,0,1,0,$5.01-10.00,$10.01-25.00
Troy Smith,$25.01-50.00,35.0,200,17102.0,503,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Arlo Guthrie,$50.01-100.00,75.0,999,7981.0,808,0,0,0,0,0,0,0,1,0,0,0,$50.01-100.00,$100.01-250.00
Lochlyn Munro,$50.01-100.00,55.0,1015,10887.0,3879,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Linda Cohn,$10.01-25.00,25.0,146,23970.0,4504,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Jonny Fairplay,$10.01-25.00,15.0,307,39963.0,7825,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$50.01-100.00
Zach McGowan,$50.01-100.00,100.0,1425,6003.0,2461,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Alison Arngrim,$25.01-50.00,40.0,712,15042.0,2660,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Janet Varney,$25.01-50.00,50.0,1360,12055.0,2053,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Blake Cooper,$10.01-25.00,15.0,92,40304.0,7885,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
McKayla Maroney,$100.01-250.00,225.0,1370,2687.0,2,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Ted DiBiase,$50.01-100.00,75.0,1165,8073.0,133,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Tracie Thoms,$25.01-50.00,50.0,818,12111.0,4185,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Illeana Douglas,$25.01-50.00,50.0,752,12111.0,4185,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Christine Evangelista,$25.01-50.00,45.0,208,13459.0,4504,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Amy Van Dyken,$10.01-25.00,20.0,177,30311.0,27,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Judy Norton,$25.01-50.00,35.0,1142,17331.0,3115,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
BENZINO,$25.01-50.00,40.0,653,15170.0,1604,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
Danny Bonaduce,$50.01-100.00,70.0,1083,8669.0,3285,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Tyronn Lue,$100.01-250.00,216.0,1265,2811.0,79,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Winter Ave Zoli,$25.01-50.00,30.0,708,20242.0,6020,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Zach Gowen,$10.01-25.00,24.99,220,24314.0,437,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Omar Vizquel,$10.01-25.00,25.0,317,24374.0,275,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Sadat X,$5.01-10.00,10.0,97,60968.0,7243,0,0,0,0,0,0,0,1,0,0,0,$5.01-10.00,$10.01-25.00
Shameik Moore,$50.01-100.00,100.0,951,6099.0,2495,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Noel Clarke,$25.01-50.00,50.0,751,12200.0,4208,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Dania Ramirez,$50.01-100.00,75.0,1256,8146.0,3141,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Bryce Johnson,$10.01-25.00,15.0,199,40760.0,9426,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Debbe Dunning,$25.01-50.00,50.0,691,12235.0,4214,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Nicole Maines,$50.01-100.00,75.0,1154,8157.0,1274,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Dina Meyer,$50.01-100.00,95.0,2415,6455.0,2609,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Alexandra Chando,$10.01-25.00,15.0,178,40919.0,8003,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Derek Fisher,$50.01-100.00,100.0,1250,6147.0,157,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Jai Rodriguez,$10.01-25.00,25.0,338,24597.0,4622,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Loan Chabanol,$10.01-25.00,21.0,119,29312.0,7705,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Eileen Davidson,$50.01-100.00,99.0,1315,6218.0,2538,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Amanda Lepore,$50.01-100.00,70.0,857,8801.0,96,0,0,0,0,0,0,1,0,0,0,0,$50.01-100.00,$25.01-50.00
Rob Mayes,$10.01-25.00,19.0,274,32456.0,8226,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Robin Thomas,$10.01-25.00,14.0,257,44107.0,9894,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$10.01-25.00
Cindy Williams,$100.01-250.00,125.0,1882,4945.0,2129,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Michael Chandler,$25.01-50.00,50.0,3943,12368.0,165,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Ross McCall,$25.01-50.00,50.0,572,12368.0,2116,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Lee Majors,$250.01-500.00,299.0,3648,2070.0,1012,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$100.01-250.00
Erin Murphy,$25.01-50.00,50.0,804,12387.0,4246,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Agnes Bruckner,$10.01-25.00,25.0,263,24776.0,6897,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Ivan Sergei,$10.01-25.00,25.0,361,24776.0,6897,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Jesse Metcalfe,$100.01-250.00,140.0,3154,4436.0,1945,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Heath Bell,$10.01-25.00,21.0,416,29596.0,369,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$10.01-25.00
Carly Pearce,$25.01-50.00,40.0,414,15545.0,1650,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
Kristin Bauer,$25.01-50.00,35.0,429,17769.0,5487,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Siedah Garrett,$10.01-25.00,20.0,287,31133.0,3571,0,0,0,0,0,0,0,1,0,0,0,$10.01-25.00,$50.01-100.00
Jason Lively,$25.01-50.00,40.0,716,15568.0,4997,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Dan Fogler,$50.01-100.00,100.0,955,6253.0,2550,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
David Mazouz,$50.01-100.00,100.0,785,6261.0,923,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Kari Byron,$50.01-100.00,100.0,1373,6261.0,923,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Annie Wallace,$10.01-25.00,20.0,51,31329.0,928,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Drew Sidora,$10.01-25.00,25.0,672,25125.0,6956,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Cat Zingano,$50.01-100.00,100.0,753,6282.0,99,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Alison Fernandez,$10.01-25.00,20.0,393,31418.0,6041,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Bai Ling,$25.01-50.00,50.0,651,12569.0,39,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Tovah Feldshuh,$25.01-50.00,50.0,412,12569.0,4296,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Darcy Rose Byrnes,$10.01-25.00,15.0,276,41990.0,9616,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Courtenay Taylor,$10.01-25.00,24.0,193,26259.0,7167,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Andre Soukhamthath,$10.01-25.00,25.0,445,25240.0,344,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Kristjan Sokoli,$5.01-10.00,7.15,33,88264.0,3170,0,0,1,0,0,0,0,0,0,0,0,$5.01-10.00,$25.01-50.00
Kyle Massey,$50.01-100.00,65.0,769,9712.0,1579,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Andrew Stevens,$25.01-50.00,35.0,801,18038.0,5550,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Isiah Thomas,$250.01-500.00,261.0,3080,2421.0,64,0,0,1,0,0,0,0,0,0,0,0,$250.01-500.00,$25.01-50.00
Alicia Coppola,$25.01-50.00,40.0,747,15804.0,5047,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Jimmy Jacobs,$10.01-25.00,25.0,205,25294.0,456,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Danny Roberts,$10.01-25.00,15.0,89,42166.0,555,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Gaby Dunn,$10.01-25.00,20.0,110,31707.0,6117,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Tom Arnold,$100.01-250.00,125.0,1215,5074.0,2174,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Jackson Rathbone,$50.01-100.00,100.0,2847,6344.0,2574,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Brittany Furlan,$50.01-100.00,100.0,1589,6344.0,941,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Kelley Jakle,$50.01-100.00,75.0,777,8461.0,1324,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
Sara Niemietz,$5.01-10.00,10.0,114,63460.0,7554,0,0,0,0,0,0,0,1,0,0,0,$5.01-10.00,$25.01-50.00
Dennis Rodman,$500.01-1000.00,750.0,16521,847.0,18,0,0,1,0,0,0,0,0,0,0,0,$500.01-1000.00,$100.01-250.00
Mary Lynn Rajskub,$50.01-100.00,75.0,1269,8477.0,3234,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Jeff Scott Soto,$10.01-25.00,25.0,319,25520.0,2869,0,0,0,0,0,0,0,1,0,0,0,$10.01-25.00,$50.01-100.00
Samm Levine,$25.01-50.00,45.0,351,14178.0,4671,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Shawn Doyle,$10.01-25.00,25.0,302,25580.0,7033,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Gary Busey,$250.01-500.00,350.0,3017,1830.0,904,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$100.01-250.00
Chris Fleming,$10.01-25.00,15.0,296,42739.0,150,0,0,0,0,0,0,0,0,1,0,0,$10.01-25.00,$25.01-50.00
Carlos Alazraqui,$25.01-50.00,40.0,577,16029.0,204,0,0,0,0,0,1,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Lorna Luft,$100.01-250.00,125.0,2510,5139.0,2194,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Amy Robbins,$10.01-25.00,20.0,133,32152.0,8174,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Ryan Johnson,$5.01-10.00,10.0,89,64327.0,12276,1,0,0,0,0,0,0,0,0,0,0,$5.01-10.00,$25.01-50.00
Tom Brittney,$10.01-25.00,25.0,617,25732.0,4857,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Joanna Krupa,$50.01-100.00,60.0,1767,10729.0,109,0,0,0,0,0,0,1,0,0,0,0,$50.01-100.00,$50.01-100.00
Rufus Wainwright,$50.01-100.00,90.0,1271,7154.0,2826,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Dominique Jackson,$50.01-100.00,75.0,2072,8598.0,1352,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$50.01-100.00
JoJo Siwa,$250.01-500.00,400.0,8181,1613.0,191,0,0,0,0,0,0,0,0,0,1,0,$250.01-500.00,$250.01-500.00
Nana Visitor,$50.01-100.00,75.0,1545,8636.0,3277,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Scott Porter,$50.01-100.00,75.0,1816,8646.0,1364,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$100.01-250.00
Bruce Dern,$100.01-250.00,200.0,3419,3243.0,1501,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Dave Salmoni,$10.01-25.00,15.0,192,43328.0,1365,0,0,0,0,0,0,0,0,1,0,0,$10.01-25.00,$25.01-50.00
Gary Anthony Williams,$25.01-50.00,50.0,764,13014.0,4393,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Georgie Thompson,$25.01-50.00,30.0,657,21697.0,15,0,0,0,0,0,0,0,0,1,0,0,$25.01-50.00,$50.01-100.00
Victoria Smurfit,$25.01-50.00,30.0,402,21697.0,6299,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Melissa Reeves,$10.01-25.00,25.0,348,26061.0,4926,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Demetria McKinney,$10.01-25.00,25.0,536,26061.0,740,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Silentó,$50.01-100.00,100.0,206,6520.0,639,0,0,0,0,0,0,0,1,0,0,0,$50.01-100.00,$50.01-100.00
Austin Williams,$0.00-5.00,5.0,35,130420.0,17076,1,0,0,0,0,0,0,0,0,0,0,$0.00-5.00,$25.01-50.00
Nick Castle,$50.01-100.00,75.0,655,8707.0,3298,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Madison Riley,$10.01-25.00,20.0,0,32659.0,8258,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Todd Bridges,$50.01-100.00,75.0,1423,8717.0,3300,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Merrin Dungey,$25.01-50.00,40.0,602,16348.0,2907,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Debra Wilson,$10.01-25.00,25.0,524,26183.0,7155,1,0,0,0,0,0,0,0,0,0,0,$10.01-25.00,$25.01-50.00
Raphael Sbarge,$25.01-50.00,28.0,349,23380.0,6634,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Vickie Guerrero,$50.01-100.00,100.0,1171,6560.0,110,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Clive Standen,$100.01-250.00,125.0,1395,5251.0,2230,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Robert Nkemdiche,$25.01-50.00,30.0,149,21925.0,668,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Les Gold,$25.01-50.00,35.0,507,18807.0,3430,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Charlene Tilton,$25.01-50.00,40.0,768,16457.0,5200,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
David Yost,$50.01-100.00,60.0,509,11010.0,3914,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$25.01-50.00
Paula Poundstone,$25.01-50.00,49.0,442,13490.0,177,0,0,0,0,0,1,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Kim Rhodes,$25.01-50.00,45.0,628,14691.0,4792,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Pau Gasol,$100.01-250.00,250.0,3778,2645.0,74,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$25.01-50.00
Matt Sydal,$25.01-50.00,40.0,399,16533.0,305,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Melissa Peterman,$50.01-100.00,75.0,721,8829.0,3336,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Lindsey McKeon,$25.01-50.00,30.0,215,22077.0,6381,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Brooke Simpson,$5.01-10.00,10.0,41,66233.0,7901,0,0,0,0,0,0,0,1,0,0,0,$5.01-10.00,$25.01-50.00
Darren Sproles,$50.01-100.00,100.0,380,6624.0,162,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Brendan Murray,$10.01-25.00,20.0,70,33193.0,3809,0,0,0,0,0,0,0,1,0,0,0,$10.01-25.00,$25.01-50.00
Youssouf Mulumbu,$10.01-25.00,20.0,154,33193.0,6414,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Vince Neil,$250.01-500.00,400.0,2530,1661.0,153,0,0,0,0,0,0,0,1,0,0,0,$250.01-500.00,$250.01-500.00
Tom Sizemore,$100.01-250.00,195.0,2206,3413.0,1566,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Dante Basco,$50.01-100.00,75.0,3391,8894.0,3356,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Duncan James,$25.01-50.00,49.0,461,13640.0,1427,0,0,0,0,0,0,0,1,0,0,0,$25.01-50.00,$50.01-100.00
Jay Feely,$10.01-25.00,25.0,467,26776.0,849,0,0,1,0,0,0,0,0,0,0,0,$10.01-25.00,$50.01-100.00
Raphael Rowe,$50.01-100.00,55.0,13953,12175.0,2078,0,0,0,0,0,0,0,0,0,1,0,$50.01-100.00,$100.01-250.00
Madison Keys,$100.01-250.00,129.0,240,5194.0,43,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Ronnie Coleman,$100.01-250.00,250.0,2822,2684.0,1,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Ciara Renée,$25.01-50.00,50.0,271,13433.0,2331,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Olesya Rulin,$25.01-50.00,40.0,535,16793.0,5278,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Dikembe Mutombo,$100.01-250.00,150.0,1183,4482.0,115,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Olivia Taylor Dudley,$50.01-100.00,80.0,579,8415.0,3219,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
