Full name,Price Group,Cameo video price,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,Actuals,Predictions
Tia Carrere,$50.01-100.00,60.0,2921,3404.0,1564,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Tara Strong,$50.01-100.00,100.0,2854,2059.0,1006,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Gregg Sulkin,$25.01-50.00,49.0,1637,4332.0,588,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$50.01-100.00
Darren Till,$50.01-100.00,100.0,7068,2152.0,23,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$250.01-500.00
Lyoto Machida,$25.01-50.00,50.0,2075,4330.0,62,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$25.01-50.00
Vince Papale,$25.01-50.00,50.0,869,4399.0,108,0,0,1,0,0,0,0,0,0,0,0,$25.01-50.00,$100.01-250.00
Joely Fisher,$50.01-100.00,75.0,1163,2984.0,1395,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Dolph Lundgren,$250.01-500.00,350.0,6580,642.0,331,1,0,0,0,0,0,0,0,0,0,0,$250.01-500.00,$250.01-500.00
Caitlyn Jenner,$1000.01-5000.00,2500.0,11921,90.0,2,0,0,0,0,0,0,0,0,0,1,0,$1000.01-5000.00,$100.01-250.00
Chanel West Coast,$100.01-250.00,250.0,4545,901.0,87,0,0,0,0,0,0,0,0,0,1,0,$100.01-250.00,$50.01-100.00
Kareem Abdul-Jabbar,$250.01-500.00,500.0,6952,451.0,11,0,0,1,0,0,0,0,0,0,0,0,$250.01-500.00,$250.01-500.00
Paul McDonald,$10.01-25.00,20.0,1000,11384.0,1178,0,0,0,0,0,0,0,1,0,0,0,$10.01-25.00,$100.01-250.00
Candis Cayne,$25.01-50.00,50.0,566,4583.0,628,0,0,0,0,0,0,0,0,0,1,0,$25.01-50.00,$25.01-50.00
Chase Crawford,$0.00-5.00,1.0,37,230115.0,36602,0,0,0,0,0,0,0,0,0,1,0,$0.00-5.00,$10.01-25.00
Kato Kaelin,$50.01-100.00,60.0,791,3876.0,1740,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$50.01-100.00
Krista Allen,$25.01-50.00,30.0,1106,7774.0,3031,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Mick Foley,$50.01-100.00,95.0,2664,2455.0,1175,1,0,0,0,0,0,0,0,0,0,0,$50.01-100.00,$100.01-250.00
Buck Angel,$10.01-25.00,25.0,971,9359.0,210,0,0,0,0,0,0,0,0,1,0,0,$10.01-25.00,$50.01-100.00
Chad Michael Murray,$100.01-250.00,200.0,4199,1170.0,595,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Mark Henry,$50.01-100.00,60.0,1534,3915.0,58,0,0,1,0,0,0,0,0,0,0,0,$50.01-100.00,$250.01-500.00
Matt Hardy,$100.01-250.00,110.0,1699,2138.0,29,0,0,1,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Denise Richards,$100.01-250.00,250.0,9549,941.0,480,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$250.01-500.00
Justin Long,$100.01-250.00,125.0,4114,1887.0,930,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$100.01-250.00
Meat Loaf,$100.01-250.00,160.0,4076,1481.0,139,0,0,0,0,0,0,0,1,0,0,0,$100.01-250.00,$100.01-250.00
Jorgie Porter,$10.01-25.00,20.0,233,11893.0,2015,0,0,0,0,0,0,0,0,0,1,0,$10.01-25.00,$25.01-50.00
Tommy Chong,$100.01-250.00,150.0,3288,1587.0,792,1,0,0,0,0,0,0,0,0,0,0,$100.01-250.00,$50.01-100.00
Bex Taylor-Klaus,$25.01-50.00,35.0,829,6821.0,2719,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
Lon Kruger,$5.01-10.00,10.0,58,23908.0,116,0,0,1,0,0,0,0,0,0,0,0,$5.01-10.00,$25.01-50.00
Kristy Swanson,$25.01-50.00,50.0,2040,4788.0,2074,1,0,0,0,0,0,0,0,0,0,0,$25.01-50.00,$50.01-100.00
